#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.6         1.6           0
           2     1.59985     1.59993 5.27587e-05
           3      1.5994     1.59975  0.00014632
           4     1.59866     1.59948 0.000260751
           5     1.59762     1.59911 0.000392815
           6     1.59628     1.59864  0.00054038
           7     1.59465     1.59807 0.000701925
           8     1.59272      1.5974 0.000876287
           9      1.5905     1.59663  0.00106254
          10     1.58799     1.59577  0.00125982
          11     1.58518      1.5948  0.00146747
          12     1.58209     1.59374  0.00168487
          13     1.57871     1.59259  0.00191143
          14     1.57504     1.59133  0.00214676
          15     1.57109     1.58999  0.00239051
          16     1.56685     1.58854  0.00264235
          17     1.56233       1.587  0.00290194
          18     1.55753     1.58536    0.003169
          19     1.55245     1.58363   0.0034433
          20     1.54708      1.5818  0.00372458
          21     1.54144     1.57988  0.00401264
          22     1.53552     1.57786  0.00430722
          23     1.52932     1.57575  0.00460815
          24     1.52284     1.57355  0.00491523
          25     1.51609     1.57125  0.00522833
          26     1.50907     1.56886  0.00554735
          27     1.50177     1.56637  0.00587212
          28     1.49419     1.56379  0.00620248
          29     1.48635     1.56112  0.00653828
          30     1.47824     1.55836  0.00687935
          31     1.46986     1.55551  0.00722557
          32     1.46122     1.55256  0.00757679
          33     1.45231     1.54952  0.00793291
          34     1.44313     1.54639  0.00829379
          35      1.4337     1.54317  0.00865932
          36       1.424     1.53986  0.00902936
          37     1.41405     1.53646  0.00940378
          38     1.40385     1.53297  0.00978244
          39      1.3934     1.52939   0.0101652
          40      1.3827     1.52573   0.0105519
          41     1.37176     1.52197   0.0109424
          42     1.36058     1.51813   0.0113365
          43     1.34916      1.5142   0.0117342
          44     1.33751     1.51018   0.0121352
          45     1.32563     1.50608   0.0125394
          46     1.31353      1.5019   0.0129466
          47     1.30121     1.49763   0.0133567
          48     1.28868     1.49327   0.0137695
          49     1.27595     1.48884   0.0141849
          50     1.26301     1.48432   0.0146025
          51     1.24988     1.47972   0.0150223
          52     1.23656     1.47505   0.0154442
          53     1.22305     1.47029   0.0158678
          54     1.20938     1.46546    0.016293
          55     1.19553     1.46055   0.0167196
          56     1.18153     1.45557   0.0171473
          57     1.16738     1.45052   0.0175761
          58     1.15309     1.44539   0.0180056
          59     1.13866     1.44019   0.0184357
          60     1.12411     1.43492   0.0188661
          61     1.10944     1.42959   0.0192966
          62     1.09466     1.42418    0.019727
          63      1.0798     1.41872   0.0201571
          64     1.06485     1.41319   0.0205865
          65     1.04982      1.4076   0.0210151
          66     1.03473     1.40195   0.0214426
          67      1.0196     1.39624   0.0218688
          68     1.00442     1.39048   0.0222933
          69    0.989225     1.38466   0.0227161
          70    0.974012      1.3788   0.0231367
          71    0.958798     1.37288   0.0235549
          72    0.943597     1.36692   0.0239704
          73    0.928422     1.36091   0.0243831
          74    0.913285     1.35486   0.0247926
          75      0.8982     1.34877   0.0251986
          76    0.883181     1.34265   0.0256009
          77    0.868241     1.33649   0.0259992
          78    0.853394     1.33029   0.0263933
          79    0.838653     1.32407   0.0267829
          80    0.824033     1.31782   0.0271677
          81    0.809547     1.31155   0.0275474
